BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2001,SK PUTRAJAYA PRESINT 9(1),"JLN P9 F, PRESINT 9",PUTRAJAYA,62250,0388885200,0388883297
2,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2002,SK PUTRAJAYA PRESINT 8(1),"NO 4, JALAN P8, PRESINT 8,",PUTRAJAYA,62250,0388880120,0388880119
3,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2003,SK PUTRAJAYA PRESINT 16(1),"JALAN P16G,PRESINT 16",PUTRAJAYA,62150,0388884452,0388884051
4,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2004,SK PUTRAJAYA PRESINT 11(1),"JALAN P11J1, PRESINT 11,",PUTRAJAYA,62300,0388884220,0388884801
5,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2005,SK PUTRAJAYA PRESINT 8(2),"JALAN P8E2, PRESINT 8,",PUTRAJAYA,62250,0388888290,0388888289
6,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2006,SK PUTRAJAYA PRESINT 9 (2),"JALAN P9A, PRESINT 9",PUTRAJAYA,62250,0388889830,0388889857
7,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2007,SK PUTRAJAYA PRESINT 16 (2),"JALAN  P16, PRESINT 16,",PUTRAJAYA,62150,0388888744,0388888743
8,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2008,SK PUTRAJAYA PRESINT 11 (3),"NO.1,JALAN P 11/2,PRESINT 11",PUTRAJAYA,62300,0388810442,0388810467
9,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2009,SK PUTRAJAYA PRESINT 14(1),"NO. 1A, JALAN P14, PRESINT 14",PUTRAJAYA,62300,0388902949,0388902946
10,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2010,SK PUTRAJAYA PRESINT 11(2),"NO.1, JLN. P11C, PRESINT 11,",PUTRAJAYA,62300,0388903457,0388903460
11,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2011,SK PUTRAJAYA PRESINT 18(1),"JALAN P18,PRESINT 18",PUTRAJAYA,62150,60388905424,60388905425
12,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2012,SK PUTRAJAYA PRESINT 18(2),"NO.3, JALAN P18G, PRESINT 18,",PUTRAJAYA,62100,0199668484,TIADA
13,WP PUTRAJAYA,JPWP PUTRAJAYA,Kebangsaan,WBA2013,SK PUTRAJAYA PRESINT 5(1),"JALAN P5A/5, PRESINT 5,",PUTRAJAYA,62000,0388613290,0388610580
